ID,Category,Dataset (suggested),Tags,Description (suggested),Level
BA_1A,Base data,Digital elevation model,hazard,Digital elevation model (DEM) describing the terrain's surface with a horizontal resolution of at least 100 meters and covering all flood prone areas. The Digital elevation model includes a digital surface model (DSM) of surface elevation including objects (e.g. buildings and trees) and a Digital terrain model (DTM) of the bare ground surface. ,National
BA_2A,Base data,Aerial imagery,hazard,"Aerial imagery, such as vertical view or orthophoto, covering the whole territory, with a resolution of at least 10 meters.",National
BA_3,Base data,Administrative boundaries,,"Shapes of official boundaries of the country and its administrative units such as states, regions, or districts. ",National
BA_4,Base data,Topographic map,,"Topographic map at 1:100,000 or better scale with names of main geographical places (toponyms), including cities and villages.",National
BA_5,Base data,Bathymetry,hazard,"Bathymetry map describing the terrain that lies underwater, or the depth of water relative to sea level, with a resolution of at least 10 meters.",National
EX_1,Exposure,Land Cover,time reference,"Map of land cover (physical material at the surface of the earth such as grass, asphalt, trees, water) for the whole territory. Land cover may also include types of land use such as urban or agriculture. Resolution must be at least 1 km. ",National
EX_2A,Exposure,Population,time reference,"Map of population distribution, usually from census data, disagregated at the lowest administrative level (district, zipcode, block, etc.). Resolution must be at least 1 km. ",National
EX_3A,Exposure,Economic activities,time reference,"Statistics of economic activities for the country at the most detailed level,and  including at least the Gross Domestic Product (GDP) per economic sector.",National
EX_3D,Exposure,Company register,time reference,List of registered companies for the country including their addresses and economic sector. ,National
EX_4,Exposure,Buildings,building,"Map showing number and characteristics of buildings, including type of use (residential, commercial, industrial), either at the most detailed administrative unit (district, block, etc.) or, if possible, on a per-building basis.",National
EX_5,Exposure,Agricultural production,,"Map of the average annual agricultural production per acre of land, where possible subdivided per type of crop or cattle, either per smallest administrative unit or per square km. ",National
EX_6,Exposure,Critical infrastructure,facilities,"Shapes of lifeline infrastructures such as utilities that provide essential services to the people. Crititical infrastructures include roads, railways, power, water, and telecommunication networks and assets as well as bridges, airports, harbors, education and health facilities.",National
HA_1,Hazard,Watershed boundaries,hazard,Shapes of watershed boundaries for the characterization of river basins for the whole territory. Watershed boundaries are topographic divides and delineate areas where surface-water runoff drains into a common surface-water body.,National
HA_2,Hazard,Water bodies,hazard,"Shapes of main water bodies (river network, lakes, coastline) ",National
